site,elevation,elevation_source,elevation_web,slope,slope_source,slope_web,aspect,aspect_source,aspect_web,,
FI-Sod,180,FLUXNET BADM,https://fluxnet.org/,,,,,,,,
FR-Gri,125,FLUXNET BADM,https://fluxnet.org/,< 2%,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,,
FR-Hes,300,"Granier et al., 2000",https://doi.org/10.1016/S0168-1923(99)00151-3,0-8 %,European Fluxes Database,http://www.europe-fluxdata.eu/,,,,European Fluxes Database,http://www.europe-fluxdata.eu/
FR-LBr,61,FLUXNET BADM,https://fluxnet.org/,,,,,,,,
FR-Pue,270,FLUXNET BADM,https://fluxnet.org/,Flat,European Fluxes Database,http://www.europe-fluxdata.eu/,Flat,European Fluxes Database,http://www.europe-fluxdata.eu/,European Fluxes Database,http://www.europe-fluxdata.eu/
HU-Bug,140,"Dou and Yang, 2018",https://doi.org/10.1155/2018/1824317,,,,,,,,
IE-Dri,200,"Lawton et al., 2006",https://doi.org/10.1029/2006JG000160,,,,,,,,
IT-Amp,884,"Oliphant and Stoy, 2018",https://doi.org/10.1002/2017JG004370,,,,,,,,
IT-Cpz,68,FLUXNET BADM,https://fluxnet.org/,Flat,"Reichstein et al., 2002",https://doi.org/10.1046/j.0269-8463.2001.00597.x,Flat,"Reichstein et al., 2002",https://doi.org/10.1046/j.0269-8463.2001.00597.x,"Reichstein et al., 2002",https://doi.org/10.1046/j.0269-8463.2001.00597.x
IT-Isp,210,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,,
IT-Lav,1353,FLUXNET BADM,https://fluxnet.org/,,,,,,,,
IT-MBo,1550,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,,
IT-Noe,25,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,,
IT-PT1,60,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,,
IT-Ren,1730,FLUXNET BADM,https://fluxnet.org/,> 10%,FLUXNET BADM,https://fluxnet.org/,SW,FLUXNET BADM,https://fluxnet.org/,,
IT-SR2,4,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,,
IT-SRo,6,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,,
NL-Ca1,0.7,"Oliphant and Stoy, 2018",https://doi.org/10.1002/2017JG004370,,,,,,,,
NL-Loo,25,FLUXNET BADM,https://fluxnet.org/,,,,,,,,
PL-wet,54,"Oliphant and Stoy, 2018",https://doi.org/10.1002/2017JG004370,Flat,European Fluxes Database,http://www.europe-fluxdata.eu/,Flat,European Fluxes Database,http://www.europe-fluxdata.eu/,European Fluxes Database,http://www.europe-fluxdata.eu/
PT-Mi2,190,"Oliphant and Stoy, 2018",https://doi.org/10.1002/2017JG004370,,,,,,,,
RU-Fyo,265,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,Flat,FLUXNET BADM,https://fluxnet.org/,,
SD-Dem,500,FLUXNET BADM,https://fluxnet.org/,,,,,,,,
US-AR1,611,AmeriFlux BADM,https://ameriflux.lbl.gov/,2-5% ,AmeriFlux BADM,https://ameriflux.lbl.gov/,,,,,
US-AR2,646,AmeriFlux BADM,https://ameriflux.lbl.gov/,2-5% ,AmeriFlux BADM,https://ameriflux.lbl.gov/,,,,,
US-ARM,314,AmeriFlux BADM,https://ameriflux.lbl.gov/,2-5% ,AmeriFlux BADM,https://ameriflux.lbl.gov/,,,,,
US-Aud,1496,"Krishnan et al., 2012",https://doi.org/10.1016/j.agrformet.2011.09.017,,,,,,,,
US-Bkg,510,AmeriFlux,https://ameriflux.lbl.gov/,,,,,,,,
US-Bo1,219,AmeriFlux BADM,https://ameriflux.lbl.gov/,,,,,,,,
US-FPe,634,"Gilmanov et al., 2005",https://doi.org/10.1111/j.1466-822X.2005.00151.x,,,,,,,,
US-GLE,3197,AmeriFlux BADM,https://ameriflux.lbl.gov/,2-5% ,AmeriFlux BADM,https://ameriflux.lbl.gov/,W,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-Goo,87,FLUXNET BADM,https://fluxnet.org/,,,,,,,,
US-Ho1,60,AmeriFlux BADM,https://ameriflux.lbl.gov/,,,,,,,,
US-KS2,3,AmeriFlux BADM,https://ameriflux.lbl.gov/,Flat,AmeriFlux BADM,https://ameriflux.lbl.gov/,Flat,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-Los,480,AmeriFlux BADM,https://ameriflux.lbl.gov/,Flat,AmeriFlux BADM,https://ameriflux.lbl.gov/,Flat,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-Me2,1253,AmeriFlux BADM,https://ameriflux.lbl.gov/,Flat,AmeriFlux BADM,https://ameriflux.lbl.gov/,Flat,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-Me4,922,AmeriFlux BADM,https://ameriflux.lbl.gov/,5-10%,AmeriFlux BADM,https://ameriflux.lbl.gov/,,,,,
US-Me6,998,AmeriFlux BADM,https://ameriflux.lbl.gov/,Flat,AmeriFlux BADM,https://ameriflux.lbl.gov/,Flat,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-MMS,275,AmeriFlux BADM,https://ameriflux.lbl.gov/,,,,,,,,
US-MOz,219.4,AmeriFlux BADM,https://ameriflux.lbl.gov/,,,,,,,,
US-Ne3,363,AmeriFlux BADM,https://ameriflux.lbl.gov/,,,,,,,,
US-NR1,3050,AmeriFlux BADM,https://ameriflux.lbl.gov/,5-10%,AmeriFlux BADM,https://ameriflux.lbl.gov/,E,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-SP2,50,AmeriFlux BADM,https://ameriflux.lbl.gov/,Flat,AmeriFlux BADM,https://ameriflux.lbl.gov/,Flat,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-SP3,50,AmeriFlux BADM,https://ameriflux.lbl.gov/,Flat,AmeriFlux BADM,https://ameriflux.lbl.gov/,Flat,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-SRG,1291,AmeriFlux BADM,https://ameriflux.lbl.gov/,< 2%,AmeriFlux BADM,https://ameriflux.lbl.gov/,W,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-SRM,1120,AmeriFlux BADM,https://ameriflux.lbl.gov/,2-5%,AmeriFlux BADM,https://ameriflux.lbl.gov/,W,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-Syv,540,AmeriFlux BADM,https://ameriflux.lbl.gov/,< 2%,AmeriFlux BADM,https://ameriflux.lbl.gov/,N,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-Ton,177,AmeriFlux BADM,https://ameriflux.lbl.gov/,Flat,AmeriFlux BADM,https://ameriflux.lbl.gov/,Flat,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-Var,129,AmeriFlux BADM,https://ameriflux.lbl.gov/,2-5%,AmeriFlux BADM,https://ameriflux.lbl.gov/,,,,,
US-WCr,520,AmeriFlux BADM,https://ameriflux.lbl.gov/,< 2%,AmeriFlux BADM,https://ameriflux.lbl.gov/,SE,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-Whs,1370,AmeriFlux BADM,https://ameriflux.lbl.gov/,3-8%,"Moran et al., 2009","https://doi.org/10.1016/j.agrformet.2008.07.004, 2009",S,AmeriFlux BADM,https://ameriflux.lbl.gov/,AmeriFlux BADM,https://ameriflux.lbl.gov/
US-Wkg,1531,AmeriFlux BADM,https://ameriflux.lbl.gov/,10%,"Scott et al., 2010",https://doi.org/10.1029/2010JG001348,,,,AmeriFlux BADM,https://ameriflux.lbl.gov/
